,avg_power_max_extra,avg_current_max_extra,csma_rx_idle_power,csma_rx_idle_current,avg_power_max_total,avg_current_max_total,avg_mWh_extra,avg_mAh_extra,csma_rx_idle_mWh_per_frame,csma_rx_idle_mAh_per_frame,avg_mWh_total,avg_mAh_total
m87dBm,17.16146617892443,5.342791473678424,126.37036715440891,38.791008526321576,143.53183333333334,44.1338,0.06126631378740085,0.019098954250831822,0.5889285960413398,0.18077920247331633,0.6501949098287407,0.19987815672414816
m66dBm,17.13787873930445,5.351081309904148,126.32065459402888,38.77531869009585,143.45853333333332,44.1264,0.059971309832940335,0.01869614377191431,0.5886969187181708,0.18070608253682643,0.6486682285511111,0.19940222630874074
m78dBm,17.298123792998997,5.374007152496633,126.33140954033433,38.778292847503366,143.62953333333334,44.1523,0.0625450362570417,0.019467043381050268,0.5887470404007361,0.18071994311494974,0.6512920766577778,0.200186986496
m101dBm,15.72649468789307,4.891817597157566,128.11473864544027,39.330682402842434,143.84123333333335,44.2225,0.05391029668023182,0.016818006616698186,0.5970579563994719,0.18329426502774626,0.6509682530797037,0.20011227164444445
m54dBm,17.39674597460543,5.420198325391801,126.22455402539457,38.7446016746082,143.6213,44.1648,0.061898849350523845,0.019277588374723115,0.5882490576076984,0.18056293086912872,0.6501479069582222,0.19984051924385185
m48dBm,17.36890506591755,5.416842857405164,126.19136160074912,38.73409047592817,143.56026666666668,44.150933333333334,0.0627879724183684,0.01956570721916952,0.5880943696971871,0.18051394513283048,0.6508823421155555,0.200079652352
m60dBm,17.2703822371562,5.380852447578129,126.27365109617713,38.759980885755205,143.54403333333335,44.14083333333333,0.06162208355751838,0.019212798094540816,0.5884778665414446,0.18063460318782956,0.650099950098963,0.19984740128237038
m72dBm,17.24491297362306,5.366313546515367,126.31942035971028,38.77381978681797,143.56433333333334,44.14013333333333,0.061367084589465624,0.01910503646230028,0.5886911667693492,0.18069909714125526,0.6500582513588148,0.19980413360355553
m81dBm,17.62407601696551,5.4868457737751015,126.33515731636783,38.779620892891565,143.95923333333334,44.266466666666666,0.06346357983629165,0.019805217476512604,0.5887645063029676,0.18072613225504297,0.6522280861392593,0.20053134973155556
m84dBm,17.652981047335732,5.495427422790207,126.3307522859976,38.77730591054313,143.98373333333333,44.272733333333335,0.06279809202618271,0.019558021810724427,0.588743977373521,0.18071534365534964,0.6515420693997037,0.20027336546607405
m69dBm,16.99787411328991,5.290457456248906,126.29375922004343,38.76610921041776,143.29163333333332,44.05656666666667,0.06133322196540923,0.01907763807663845,0.5885715771907389,0.18066316325076895,0.6499047991561482,0.1997408013274074
m51dBm,16.833936699577386,5.254788115471698,126.33139663375594,38.77687855119497,143.16533333333334,44.031666666666666,0.0602548974987973,0.01879738666208378,0.5887469802517212,0.18071335201643474,0.6490018777505185,0.1995107386785185
m75dBm,17.43854876928574,5.430439303099475,126.32125123071425,38.775060696900525,143.75979999999998,44.2055,0.06115492745556697,0.019071478141719268,0.5886996992466552,0.18070488020139183,0.6498546267022222,0.1997763583431111
m63dBm,17.52219013073334,5.457559125628886,126.3108432026,38.77140754103778,143.83303333333333,44.228966666666665,0.06219351090306892,0.01937250153651304,0.5886511943200422,0.18068785526111658,0.6508447052231111,0.20006035679762962
m90dBm,17.07705141772778,5.319457252734169,126.43854858227222,38.8117094139325,143.5156,44.131166666666665,0.06017703987997923,0.018777163689376222,0.5892463445253541,0.18087567560188303,0.6494233844053333,0.19965283929125927
m57dBm,17.288699683274135,5.3799460051227035,126.26350031672587,38.75622066154396,143.5522,44.13616666666667,0.06169977480839492,0.019208744148744638,0.588430560480494,0.18061707927288498,0.650130335288889,0.1998258234216296
